DISEASE;GENDER;AGE;NUMBER OF DEATHS
Genitourinary tract diseases;Females;10 to 14;0
Genitourinary tract diseases;Both;15 to 19;2
Genitourinary tract diseases;Males;15 to 19;0
Genitourinary tract diseases;Females;15 to 19;2
Genitourinary tract diseases;Both;20 to 24;4
Genitourinary tract diseases;Males;20 to 24;1
Genitourinary tract diseases;Females;20 to 24;3
Genitourinary tract diseases;Both;25 to 29;5
Genitourinary tract diseases;Males;25 to 29;3
Genitourinary tract diseases;Females;25 to 29;2
Genitourinary tract diseases;Both;30 to 34;4
Genitourinary tract diseases;Males;30 to 34;2
Genitourinary tract diseases;Females;30 to 34;2
Genitourinary tract diseases;Both;35 to 39;10
Genitourinary tract diseases;Males;35 to 39;3
Genitourinary tract diseases;Females;35 to 39;7
Genitourinary tract diseases;Both;40 to 44;24
Genitourinary tract diseases;Males;40 to 44;15
Genitourinary tract diseases;Females;40 to 44;9
Genitourinary tract diseases;Both;45 to 49;25
Genitourinary tract diseases;Males;45 to 49;18
Genitourinary tract diseases;Females;45 to 49;7
Genitourinary tract diseases;Both;50 to 54;63
Genitourinary tract diseases;Males;50 to 54;37
Genitourinary tract diseases;Females;50 to 54;26
Genitourinary tract diseases;Both;55 to 59;97
Genitourinary tract diseases;Males;55 to 59;61
Genitourinary tract diseases;Females;55 to 59;36
Genitourinary tract diseases;Both;60 to 64;185
Genitourinary tract diseases;Males;60 to 64;118
Genitourinary tract diseases;Females;60 to 64;67
Genitourinary tract diseases;Both;65 to 69;278
Genitourinary tract diseases;Males;65 to 69;172
Genitourinary tract diseases;Females;65 to 69;106
Genitourinary tract diseases;Both;70 to 74;569
Genitourinary tract diseases;Males;70 to 74;326
Genitourinary tract diseases;Females;70 to 74;243
Genitourinary tract diseases;Both;75 to 79;1015
Genitourinary tract diseases;Males;75 to 79;562
Genitourinary tract diseases;Females;75 to 79;453
Genitourinary tract diseases;Both;80 to 84;2464
Genitourinary tract diseases;Males;80 to 84;1172
Genitourinary tract diseases;Females;80 to 84;1292
Genitourinary tract diseases;Both;85 to 89;3732
Genitourinary tract diseases;Males;85 to 89;1628
Genitourinary tract diseases;Females;85 to 89;2104
Genitourinary tract diseases;Both;90 to 94;3213
Genitourinary tract diseases;Males;90 to 94;1188
Genitourinary tract diseases;Females;90 to 94;2025
Genitourinary tract diseases;Both;95 or more;1493
Genitourinary tract diseases;Males;95 or more;472
Genitourinary tract diseases;Females;95 or more;1021
Infections and parasitary diseases;Both;All ages;6819
Infections and parasitary diseases;Males;All ages;3286
Infections and parasitary diseases;Females;All ages;3533
Infections and parasitary diseases;Both;0 to 1;12
Infections and parasitary diseases;Males;0 to 1;7
Infections and parasitary diseases;Females;0 to 1;5
Infections and parasitary diseases;Both;1 to 4;11
Infections and parasitary diseases;Males;1 to 4;2
Infections and parasitary diseases;Females;1 to 4;9
Infections and parasitary diseases;Both;5 to 9;3
Infections and parasitary diseases;Males;5 to 9;1
Infections and parasitary diseases;Females;5 to 9;2
Infections and parasitary diseases;Both;10 to 14;4
Infections and parasitary diseases;Males;10 to 14;3
Infections and parasitary diseases;Females;10 to 14;1
Infections and parasitary diseases;Both;15 to 19;7
Infections and parasitary diseases;Males;15 to 19;4
Infections and parasitary diseases;Females;15 to 19;3
Infections and parasitary diseases;Both;20 to 24;11
Infections and parasitary diseases;Males;20 to 24;7
Infections and parasitary diseases;Females;20 to 24;4
Infections and parasitary diseases;Both;25 to 29;15
Infections and parasitary diseases;Males;25 to 29;10
Infections and parasitary diseases;Females;25 to 29;5
Infections and parasitary diseases;Both;30 to 34;18
Infections and parasitary diseases;Males;30 to 34;13
Infections and parasitary diseases;Females;30 to 34;5
Infections and parasitary diseases;Both;35 to 39;36
Infections and parasitary diseases;Males;35 to 39;18
Infections and parasitary diseases;Females;35 to 39;18
Infections and parasitary diseases;Both;40 to 44;100
Infections and parasitary diseases;Males;40 to 44;68
Infections and parasitary diseases;Females;40 to 44;32
Infections and parasitary diseases;Both;45 to 49;176
Infections and parasitary diseases;Males;45 to 49;138
Infections and parasitary diseases;Females;45 to 49;38
Infections and parasitary diseases;Both;50 to 54;273
Infections and parasitary diseases;Males;50 to 54;195
Infections and parasitary diseases;Females;50 to 54;78
Infections and parasitary diseases;Both;55 to 59;263
Infections and parasitary diseases;Males;55 to 59;199
Infections and parasitary diseases;Females;55 to 59;64
Infections and parasitary diseases;Both;60 to 64;240
Infections and parasitary diseases;Males;60 to 64;157
Infections and parasitary diseases;Females;60 to 64;83
Infections and parasitary diseases;Both;65 to 69;320
Infections and parasitary diseases;Males;65 to 69;209
Infections and parasitary diseases;Females;65 to 69;111
Infections and parasitary diseases;Both;70 to 74;479
Infections and parasitary diseases;Males;70 to 74;290
Infections and parasitary diseases;Females;70 to 74;189
Infections and parasitary diseases;Both;75 to 79;674
Infections and parasitary diseases;Males;75 to 79;346
Infections and parasitary diseases;Females;75 to 79;328
Infections and parasitary diseases;Both;80 to 84;1228
Infections and parasitary diseases;Males;80 to 84;533
Infections and parasitary diseases;Females;80 to 84;695
Infections and parasitary diseases;Both;85 to 89;1489
Infections and parasitary diseases;Males;85 to 89;598
Infections and parasitary diseases;Females;85 to 89;891
Infections and parasitary diseases;Both;90 to 94;1071
Infections and parasitary diseases;Males;90 to 94;373
Infections and parasitary diseases;Females;90 to 94;698
Infections and parasitary diseases;Both;95 or more;389
Infections and parasitary diseases;Males;95 or more;115
Infections and parasitary diseases;Females;95 or more;274
Blood and hematopoietic organ diseases;Both;All ages;1973
Blood and hematopoietic organ diseases;Males;All ages;856
Blood and hematopoietic organ diseases;Females;All ages;1117
Blood and hematopoietic organ diseases;Both;0 to 1;14
Blood and hematopoietic organ diseases;Males;0 to 1;9
Blood and hematopoietic organ diseases;Females;0 to 1;5
Blood and hematopoietic organ diseases;Both;1 to 4;2
Blood and hematopoietic organ diseases;Males;1 to 4;2
Blood and hematopoietic organ diseases;Females;1 to 4;0
Blood and hematopoietic organ diseases;Both;5 to 9;3
Blood and hematopoietic organ diseases;Males;5 to 9;1
Blood and hematopoietic organ diseases;Females;5 to 9;2
Blood and hematopoietic organ diseases;Both;10 to 14;9
Blood and hematopoietic organ diseases;Males;10 to 14;5
Blood and hematopoietic organ diseases;Females;10 to 14;4
Blood and hematopoietic organ diseases;Both;15 to 19;4
Blood and hematopoietic organ diseases;Males;15 to 19;3
Blood and hematopoietic organ diseases;Females;15 to 19;1
Blood and hematopoietic organ diseases;Both;20 to 24;7
Blood and hematopoietic organ diseases;Males;20 to 24;3
Blood and hematopoietic organ diseases;Females;20 to 24;4
Blood and hematopoietic organ diseases;Both;25 to 29;3
Blood and hematopoietic organ diseases;Males;25 to 29;3
Blood and hematopoietic organ diseases;Females;25 to 29;0
Blood and hematopoietic organ diseases;Both;30 to 34;4
Blood and hematopoietic organ diseases;Males;30 to 34;2
Blood and hematopoietic organ diseases;Females;30 to 34;2
Blood and hematopoietic organ diseases;Both;35 to 39;9
Blood and hematopoietic organ diseases;Males;35 to 39;7
Blood and hematopoietic organ diseases;Females;35 to 39;2
Blood and hematopoietic organ diseases;Both;40 to 44;12
Blood and hematopoietic organ diseases;Males;40 to 44;7
Blood and hematopoietic organ diseases;Females;40 to 44;5
Blood and hematopoietic organ diseases;Both;45 to 49;30
Blood and hematopoietic organ diseases;Males;45 to 49;14
Blood and hematopoietic organ diseases;Females;45 to 49;16
Blood and hematopoietic organ diseases;Both;50 to 54;33
Blood and hematopoietic organ diseases;Males;50 to 54;19
Blood and hematopoietic organ diseases;Females;50 to 54;14
Blood and hematopoietic organ diseases;Both;55 to 59;35
Blood and hematopoietic organ diseases;Males;55 to 59;24
Blood and hematopoietic organ diseases;Females;55 to 59;11
Blood and hematopoietic organ diseases;Both;60 to 64;60
Blood and hematopoietic organ diseases;Males;60 to 64;33
Blood and hematopoietic organ diseases;Females;60 to 64;27
Blood and hematopoietic organ diseases;Both;65 to 69;84
Blood and hematopoietic organ diseases;Males;65 to 69;56
Blood and hematopoietic organ diseases;Females;65 to 69;28
Blood and hematopoietic organ diseases;Both;70 to 74;137
Blood and hematopoietic organ diseases;Males;70 to 74;66
Blood and hematopoietic organ diseases;Females;70 to 74;71
Blood and hematopoietic organ diseases;Both;75 to 79;159
Blood and hematopoietic organ diseases;Males;75 to 79;74
Blood and hematopoietic organ diseases;Females;75 to 79;85
Blood and hematopoietic organ diseases;Both;80 to 84;300
Blood and hematopoietic organ diseases;Males;80 to 84;141
Blood and hematopoietic organ diseases;Females;80 to 84;159
Blood and hematopoietic organ diseases;Both;85 to 89;435
Blood and hematopoietic organ diseases;Males;85 to 89;172
Blood and hematopoietic organ diseases;Females;85 to 89;263
Blood and hematopoietic organ diseases;Both;90 to 94;412
Blood and hematopoietic organ diseases;Males;90 to 94;143
Blood and hematopoietic organ diseases;Females;90 to 94;269
Blood and hematopoietic organ diseases;Both;95 or more;221
Blood and hematopoietic organ diseases;Males;95 or more;72
Blood and hematopoietic organ diseases;Females;95 or more;149
Nervous system and sense organs diseases;Both;All ages;26345
Nervous system and sense organs diseases;Males;All ages;10144
Nervous system and sense organs diseases;Females;All ages;16201
Nervous system and sense organs diseases;Both;0 to 1;41
Nervous system and sense organs diseases;Males;0 to 1;25
Nervous system and sense organs diseases;Females;0 to 1;16
Nervous system and sense organs diseases;Both;1 to 4;28
Nervous system and sense organs diseases;Males;1 to 4;18
Nervous system and sense organs diseases;Females;1 to 4;10
Nervous system and sense organs diseases;Both;5 to 9;21
Nervous system and sense organs diseases;Males;5 to 9;15
Nervous system and sense organs diseases;Females;5 to 9;6
Nervous system and sense organs diseases;Both;10 to 14;23
Nervous system and sense organs diseases;Males;10 to 14;6
Nervous system and sense organs diseases;Females;10 to 14;17
Nervous system and sense organs diseases;Both;15 to 19;33
Nervous system and sense organs diseases;Males;15 to 19;24
Nervous system and sense organs diseases;Females;15 to 19;9
Nervous system and sense organs diseases;Both;20 to 24;47
Nervous system and sense organs diseases;Males;20 to 24;29
Nervous system and sense organs diseases;Females;20 to 24;18
Nervous system and sense organs diseases;Both;25 to 29;39
Nervous system and sense organs diseases;Males;25 to 29;22
Nervous system and sense organs diseases;Females;25 to 29;17
Nervous system and sense organs diseases;Both;30 to 34;61
Nervous system and sense organs diseases;Males;30 to 34;39
Nervous system and sense organs diseases;Females;30 to 34;22
Nervous system and sense organs diseases;Both;35 to 39;88
Nervous system and sense organs diseases;Males;35 to 39;56
Nervous system and sense organs diseases;Females;35 to 39;32
Nervous system and sense organs diseases;Both;40 to 44;129
Nervous system and sense organs diseases;Males;40 to 44;77
Nervous system and sense organs diseases;Females;40 to 44;52
Nervous system and sense organs diseases;Both;45 to 49;177
Nervous system and sense organs diseases;Males;45 to 49;107
Nervous system and sense organs diseases;Females;45 to 49;70
Nervous system and sense organs diseases;Both;50 to 54;286
Nervous system and sense organs diseases;Males;50 to 54;187
Nervous system and sense organs diseases;Females;50 to 54;99
Nervous system and sense organs diseases;Both;55 to 59;371
Nervous system and sense organs diseases;Males;55 to 59;228
Nervous system and sense organs diseases;Females;55 to 59;143
Nervous system and sense organs diseases;Both;60 to 64;599
Nervous system and sense organs diseases;Males;60 to 64;340
Nervous system and sense organs diseases;Females;60 to 64;259
Nervous system and sense organs diseases;Both;65 to 69;864
Nervous system and sense organs diseases;Males;65 to 69;495
Nervous system and sense organs diseases;Females;65 to 69;369
Nervous system and sense organs diseases;Both;70 to 74;1607
Nervous system and sense organs diseases;Males;70 to 74;872
Nervous system and sense organs diseases;Females;70 to 74;735
Nervous system and sense organs diseases;Both;75 to 79;2573
Nervous system and sense organs diseases;Males;75 to 79;1278
Nervous system and sense organs diseases;Females;75 to 79;1295
Nervous system and sense organs diseases;Both;80 to 84;5497
Nervous system and sense organs diseases;Males;80 to 84;2304
Nervous system and sense organs diseases;Females;80 to 84;3193
Nervous system and sense organs diseases;Both;85 to 89;7230
Nervous system and sense organs diseases;Males;85 to 89;2439
Nervous system and sense organs diseases;Females;85 to 89;4791
Nervous system and sense organs diseases;Both;90 to 94;4996
Nervous system and sense organs diseases;Males;90 to 94;1290
Nervous system and sense organs diseases;Females;90 to 94;3706
Nervous system and sense organs diseases;Both;95 or more;1635
Nervous system and sense organs diseases;Males;95 or more;293
Nervous system and sense organs diseases;Females;95 or more;1342
Diseases of the digestive system;Both;All ages;20447
Diseases of the digestive system;Males;All ages;10666
Diseases of the digestive system;Females;All ages;9781
Diseases of the digestive system;Both;0 to 1;11
Diseases of the digestive system;Males;0 to 1;3
Diseases of the digestive system;Females;0 to 1;8
Diseases of the digestive system;Both;1 to 4;5
Diseases of the digestive system;Males;1 to 4;3
Diseases of the digestive system;Females;1 to 4;2
Diseases of the digestive system;Both;5 to 9;3
Diseases of the digestive system;Males;5 to 9;3
Diseases of the digestive system;Females;5 to 9;0
Diseases of the digestive system;Both;10 to 14;4
Diseases of the digestive system;Males;10 to 14;1
Diseases of the digestive system;Females;10 to 14;3
Diseases of the digestive system;Both;15 to 19;6
Diseases of the digestive system;Males;15 to 19;3
Diseases of the digestive system;Females;15 to 19;3
Diseases of the digestive system;Both;20 to 24;9
Diseases of the digestive system;Males;20 to 24;6
Diseases of the digestive system;Females;20 to 24;3
Diseases of the digestive system;Both;25 to 29;16
Diseases of the digestive system;Males;25 to 29;7
Diseases of the digestive system;Females;25 to 29;9
Diseases of the digestive system;Both;30 to 34;22
Diseases of the digestive system;Males;30 to 34;17
Diseases of the digestive system;Females;30 to 34;5
Diseases of the digestive system;Both;35 to 39;79
Diseases of the digestive system;Males;35 to 39;50
Diseases of the digestive system;Females;35 to 39;29
Diseases of the digestive system;Both;40 to 44;221
Diseases of the digestive system;Males;40 to 44;163
Diseases of the digestive system;Females;40 to 44;58
Diseases of the digestive system;Both;45 to 49;431
Diseases of the digestive system;Males;45 to 49;336
Diseases of the digestive system;Females;45 to 49;95
Diseases of the digestive system;Both;50 to 54;761
Diseases of the digestive system;Males;50 to 54;575
Diseases of the digestive system;Females;50 to 54;186
Diseases of the digestive system;Both;55 to 59;926
Diseases of the digestive system;Males;55 to 59;711
Diseases of the digestive system;Females;55 to 59;215
Diseases of the digestive system;Both;60 to 64;1090
Diseases of the digestive system;Males;60 to 64;825
Diseases of the digestive system;Females;60 to 64;265
Diseases of the digestive system;Both;65 to 69;1327
Diseases of the digestive system;Males;65 to 69;993
Diseases of the digestive system;Females;65 to 69;334
Diseases of the digestive system;Both;70 to 74;1682
Diseases of the digestive system;Males;70 to 74;1128
Diseases of the digestive system;Females;70 to 74;554
Diseases of the digestive system;Both;75 to 79;1903
Diseases of the digestive system;Males;75 to 79;1120
Diseases of the digestive system;Females;75 to 79;783
Diseases of the digestive system;Both;80 to 84;3470
Diseases of the digestive system;Males;80 to 84;1663
Diseases of the digestive system;Females;80 to 84;1807
Diseases of the digestive system;Both;85 to 89;4213
Diseases of the digestive system;Males;85 to 89;1743
Diseases of the digestive system;Females;85 to 89;2470
Diseases of the digestive system;Both;90 to 94;3046
Diseases of the digestive system;Males;90 to 94;999
Diseases of the digestive system;Females;90 to 94;2047
Diseases of the digestive system;Both;95 or more;1222
Diseases of the digestive system;Males;95 or more;317
Diseases of the digestive system;Females;95 or more;905
Other causes;Both;All ages;12260
Other causes;Males;All ages;8511
Other causes;Females;All ages;3749
Other causes;Both;0 to 1;961
Other causes;Males;0 to 1;548
Other causes;Females;0 to 1;413
Other causes;Both;1 to 4;87
Other causes;Males;1 to 4;57
Other causes;Females;1 to 4;30
Other causes;Both;5 to 9;50
Other causes;Males;5 to 9;22
Other causes;Females;5 to 9;28
Other causes;Both;10 to 14;59
Other causes;Males;10 to 14;40
Other causes;Females;10 to 14;19
Other causes;Both;15 to 19;149
Other causes;Males;15 to 19;107
Other causes;Females;15 to 19;42
Other causes;Both;20 to 24;242
Other causes;Males;20 to 24;173
Other causes;Females;20 to 24;69
Other causes;Both;25 to 29;291
Other causes;Males;25 to 29;227
Other causes;Females;25 to 29;64
Other causes;Both;30 to 34;307
Other causes;Males;30 to 34;229
Other causes;Females;30 to 34;78
Other causes;Both;35 to 39;373
Other causes;Males;35 to 39;284
Other causes;Females;35 to 39;89
Other causes;Both;40 to 44;571
Other causes;Males;40 to 44;440
Other causes;Females;40 to 44;131
Other causes;Both;45 to 49;665
Other causes;Males;45 to 49;482
Other causes;Females;45 to 49;183
Other causes;Both;50 to 54;831
Other causes;Males;50 to 54;613
Other causes;Females;50 to 54;218
Other causes;Both;55 to 59;947
Other causes;Males;55 to 59;669
Other causes;Females;55 to 59;278
Other causes;Both;60 to 64;928
Other causes;Males;60 to 64;646
Other causes;Females;60 to 64;282
Other causes;Both;65 to 69;1040
Other causes;Males;65 to 69;668
Other causes;Females;65 to 69;372
Other causes;Both;70 to 74;946
Other causes;Males;70 to 74;626
Other causes;Females;70 to 74;320
Other causes;Both;75 to 79;822
Other causes;Males;75 to 79;570
Other causes;Females;75 to 79;252
Other causes;Both;80 to 84;470
Other causes;Males;80 to 84;595
Other causes;Females;80 to 84;-125
Other causes;Both;85 to 89;43
Other causes;Males;85 to 89;486
Other causes;Females;85 to 89;-443
Other causes;Both;90 to 94;933
Other causes;Males;90 to 94;583
Other causes;Females;90 to 94;350
Other causes;Both;95 or more;1545
Other causes;Males;95 or more;446
Other causes;Females;95 or more;1099
